pts;ritter;toussaint
256;51;11
512;1;5
768;1;15
1024;0;3
1280;1;2
1536;1;2
1792;1;3
2048;1;3
2304;1;3
2560;1;3
2816;1;4
3072;1;4
3328;1;5
3584;1;4
3840;0;5
4096;0;6
4352;0;3
4608;0;2
4864;1;3
5120;1;2
5376;1;3
5632;1;3
5888;0;3
6144;1;3
6400;1;4
6656;1;5
6912;1;4
7168;0;4
7424;1;4
7680;1;4
7936;0;6
8192;1;4
8448;1;4
8704;1;5
8960;0;5
9216;1;5
9472;0;6
9728;0;6
9984;0;7
10240;0;7
10496;0;7
10752;0;7
11008;1;8
11264;0;9
11520;0;8
11776;1;10
12032;0;9
12288;1;9
12544;0;9
12800;0;11
13056;0;10
13312;0;12
13568;0;12
13824;0;13
14080;1;13
14336;0;13
14592;0;13
14848;1;14
15104;1;14
15360;0;19
15616;0;16
15872;0;17
16128;0;16
16384;1;16
16640;0;18
16896;1;18
17152;0;18
17408;1;19
17664;1;20
17920;1;22
18176;0;23
18432;0;23
18688;1;23
18944;1;31
19200;1;26
19456;1;26
19712;1;26
19968;1;26
20224;1;27
20480;0;27
20736;1;27
20992;1;27
21248;1;28
21504;1;28
21760;1;29
22016;1;30
22272;1;31
22528;1;33
22784;0;34
23040;0;43
23296;0;38
23552;1;34
23808;1;36
24064;0;37
24320;1;37
24576;1;39
24832;0;39
25088;1;39
25344;1;40
25600;1;41
25856;0;42
26112;1;44
26368;1;44
26624;1;44
26880;1;46
27136;1;46
27392;1;47
27648;0;48
27904;1;49
28160;1;48
28416;1;50
28672;1;50
28928;1;51
29184;1;54
29440;1;53
29696;1;54
29952;1;55
30208;1;56
30464;1;58
30720;1;60
30976;1;60
31232;1;62
31488;1;62
31744;1;61
32000;1;62
32256;1;63
32512;1;65
32768;1;66
33024;1;68
33280;1;69
33536;1;67
33792;1;68
34048;1;71
34304;1;72
34560;1;72
34816;1;73
35072;2;75
35328;1;76
35584;1;77
35840;2;77
36096;2;81
36352;1;81
36608;2;81
36864;1;83
37120;1;84
37376;2;85
37632;1;87
37888;1;88
38144;1;89
38400;2;90
38656;1;93
38912;1;93
39168;1;94
39424;1;95
39680;1;98
39936;1;99
40192;2;97
40448;1;99
40704;1;102
40960;1;105
41216;1;102
41472;1;103
41728;1;104
41984;1;106
42240;1;107
42496;1;110
42752;1;109
43008;2;113
43264;1;114
43520;1;114
43776;2;114
44032;1;115
44288;1;117
44544;2;119
44800;1;120
45056;1;122
45312;2;123
45568;1;124
45824;2;126
46080;2;128
46336;2;134
46592;2;131
46848;1;131
47104;2;133
47360;1;135
47616;2;137
47872;2;137
48128;2;140
48384;1;141
48640;2;143
48896;1;142
49152;2;144
49408;1;151
49664;1;149
49920;1;151
50176;1;150
50432;1;153
50688;1;156
50944;2;155
51200;2;157
51456;1;157
51712;1;159
51968;1;161
52224;1;162
52480;1;164
52736;2;165
52992;1;167
53248;2;167
53504;2;167
53760;2;173
54016;2;174
54272;2;174
54528;2;178
54784;1;177
55040;2;179
55296;2;182
55552;1;183
55808;1;184
56064;2;187
56320;1;188
56576;2;188
56832;1;197
57088;2;208
57344;1;198
57600;2;202
57856;2;198
58112;1;201
58368;2;207
58624;2;203
58880;2;223
59136;2;228
59392;1;211
59648;2;212
59904;2;213
60160;2;215
60416;2;219
60672;2;219
60928;2;222
61184;2;223
61440;2;242
61696;2;236
61952;2;246
62208;1;244
62464;2;248
62720;2;234
62976;2;248
63232;2;252
63488;2;242
63744;2;237
64000;2;240
64256;2;276
64512;2;274
64768;2;270
65024;2;258
65280;3;266
65536;2;284
65792;3;315
66048;3;284
66304;2;277
66560;3;288
66816;2;274
67072;2;265
67328;2;287
67584;2;305
67840;2;280
68096;3;304
68352;2;284
68608;2;298
68864;3;311
69120;3;305
69376;2;299
69632;2;292
69888;2;310
70144;2;309
70400;3;316
70656;2;310
70912;3;302
71168;2;301
71424;2;310
71680;2;323
71936;3;312
72192;2;317
72448;2;315
72704;2;317
72960;2;319
73216;3;351
73472;3;327
73728;2;336
73984;3;334
74240;3;336
74496;2;336
74752;2;339
75008;3;334
75264;2;346
75520;2;343
75776;3;352
76032;3;349
76288;2;357
76544;2;380
76800;3;376
77056;3;392
77312;3;393
77568;3;374
77824;3;375
78080;2;389
78336;2;377
78592;3;379
78848;2;383
79104;2;381
79360;2;393
79616;2;390
79872;2;396
80128;3;398
80384;3;400
80640;3;410
80896;3;406
81152;2;415
81408;2;408
81664;3;405
81920;3;416
82176;3;422
82432;2;423
82688;3;423
82944;2;422
83200;3;428
83456;3;440
83712;2;457
83968;3;444
84224;3;481
84480;2;467
84736;3;460
84992;3;461
85248;3;472
85504;3;490
85760;5;485
86016;3;471
86272;2;504
86528;3;492
86784;2;481
87040;3;486
87296;3;474
87552;2;493
87808;3;496
88064;3;509
88320;3;497
88576;3;519
88832;3;497
89088;2;511
89344;3;534
89600;3;529
89856;3;536
90112;3;538
90368;2;549
90624;3;546
90880;3;536
91136;3;553
91392;3;559
91648;3;563
91904;3;552
92160;3;548
92416;2;548
92672;3;554
92928;3;571
93184;3;567
93440;3;590
93696;3;598
93952;3;584
94208;3;593
94464;5;610
94720;4;598
94976;3;591
95232;3;595
95488;3;615
95744;3;637
96000;3;626
96256;3;630
96512;4;612
96768;3;605
97024;3;616
97280;3;621
97536;3;621
97792;3;620
98048;3;627
98304;3;633
98560;3;663
98816;4;715
99072;3;717
99328;3;710
99584;4;722
99840;3;747
100096;3;708
100352;3;714
100608;3;724
100864;3;721
101120;3;726
101376;4;743
101632;4;736
101888;4;691
102144;4;746
102400;3;762
102656;4;708
102912;3;717
103168;4;713
103424;3;718
103680;3;734
103936;4;762
104192;3;776
104448;4;803
104704;3;816
104960;4;790
105216;4;772
105472;4;768
105728;4;791
105984;3;792
106240;4;793
106496;3;784
106752;4;786
107008;4;827
107264;4;813
107520;3;813
107776;4;808
108032;3;812
108288;4;841
108544;3;833
108800;3;853
109056;3;856
109312;4;827
109568;4;861
109824;3;865
110080;3;859
110336;4;891
110592;3;869
110848;4;862
111104;3;845
111360;4;864
111616;3;863
111872;3;874
112128;4;894
112384;4;912
112640;4;892
112896;3;866
113152;4;915
113408;4;936
113664;3;974
113920;4;969
114176;4;935
114432;4;979
114688;4;952
114944;4;938
115200;3;918
115456;5;948
115712;4;965
115968;4;951
116224;3;912
116480;3;926
116736;4;960
116992;4;984
117248;4;975
117504;4;1010
117760;3;966
118016;3;955
118272;4;978
118528;4;963
118784;4;1044
119040;5;1034
119296;5;1079
119552;4;1036
119808;4;1040
120064;4;1071
120320;4;1005
120576;4;1053
120832;4;1049
121088;4;1032
121344;4;1032
121600;4;1104
121856;4;1014
122112;4;1031
122368;4;1031
122624;4;1028
122880;4;1091
123136;4;1071
123392;4;1089
123648;4;1122
123904;4;1108
124160;4;1096
124416;4;1075
124672;3;1102
124928;3;1088
125184;4;1125
125440;4;1139
125696;4;1233
125952;4;1162
126208;5;1162
126464;5;1198
126720;4;1124
126976;4;1127
127232;4;1134
127488;4;1157
127744;4;1122
128000;4;1131
128256;4;1129
128512;4;1143
128768;5;1144
129024;4;1213
129280;4;1167
129536;4;1184
129792;4;1162
130048;4;1219
130304;4;1331
130560;5;1291
130816;5;1257
131072;5;1299
131328;4;1223
131584;4;1210
131840;4;1236
132096;4;1241
132352;5;1236
132608;4;1255
132864;4;1223
133120;4;1226
133376;4;1233
133632;6;1235
133888;5;1242
134144;4;1323
134400;4;1333
134656;4;1326
134912;5;1371
135168;5;1340
135424;4;1347
135680;4;1351
135936;4;1387
136192;5;1355
136448;5;1360
136704;5;1347
136960;4;1333
137216;5;1434
137472;5;1395
137728;4;1398
137984;4;1389
138240;4;1467
138496;5;1483
138752;5;1467
139008;5;1387
139264;4;1385
139520;5;1384
139776;4;1431
140032;5;1456
140288;5;1496
140544;4;1538
140800;6;1613
141056;5;1493
141312;6;1538
141568;5;1583
141824;5;1599
142080;5;1498
142336;5;1586
142592;5;1553
142848;4;1534
143104;5;1485
143360;5;1521
143616;4;1520
143872;4;1548
144128;4;1592
144384;5;1555
144640;5;1571
144896;5;1537
145152;4;1526
145408;5;1521
145664;6;1547
145920;5;1549
146176;4;1540
146432;5;1573
146688;6;1556
146944;4;1582
147200;5;1611
147456;5;1716
147712;5;1661
147968;4;1627
148224;5;1691
148480;5;1630
148736;4;1605
148992;5;1595
149248;5;1611
149504;5;1644
149760;5;1656
150016;5;1669
150272;6;1728
150528;4;1674
150784;4;1664
151040;6;1766
151296;4;1660
151552;5;1694
151808;6;1702
152064;5;1657
152320;5;1713
152576;5;1701
152832;5;1747
153088;5;1794
153344;6;1797
153600;5;1728
153856;7;1730
154112;5;1730
154368;5;1764
154624;5;1769
154880;6;1764
155136;5;1760
155392;6;1768
155648;4;1797
155904;4;1799
156160;6;1797
156416;5;1860
156672;6;1822
156928;5;1816
157184;5;1807
157440;5;1819
157696;5;1843
157952;5;1850
158208;7;1844
158464;5;1836
158720;5;1845
158976;5;1869
159232;5;1874
159488;5;1884
159744;5;1893
160000;5;1902
160256;5;1905
160512;5;1958
160768;5;2021
161024;6;1915
161280;5;1896
161536;5;1888
161792;5;1885
162048;5;1992
162304;5;1907
162560;5;1922
162816;5;1880
163072;5;1900
163328;6;1894
163584;5;1901
163840;7;1923
164096;5;1940
164352;5;1944
164608;5;1964
164864;5;1966
165120;5;1972
165376;6;1991
165632;6;1972
165888;5;1988
166144;6;1965
166400;6;2000
166656;5;2014
166912;6;1981
167168;5;2020
167424;6;2202
167680;5;2234
167936;7;2131
168192;6;2239
168448;7;2215
168704;5;2105
168960;5;2084
169216;6;2143
169472;5;2100
169728;5;2086
169984;5;2111
170240;5;2070
170496;5;2089
170752;23;2134
171008;5;2158
171264;6;2164
171520;5;2183
171776;6;2138
172032;6;2143
172288;6;2155
172544;6;2171
172800;5;2161
173056;5;2171
173312;6;2180
173568;6;2162
173824;5;2179
174080;5;2222
174336;5;2245
174592;6;2239
174848;6;2300
175104;5;2398
175360;6;2376
175616;6;2315
175872;6;2265
176128;6;2309
176384;6;2277
176640;5;2232
176896;5;2335
177152;6;2292
177408;6;2443
177664;7;2498
177920;6;2426
178176;6;2379
178432;6;2332
178688;5;2329
178944;5;2292
179200;5;2304
179456;6;2372
179712;6;2387
179968;6;2390
180224;6;2381
180480;5;2383
180736;6;2400
180992;6;2373
181248;6;2389
181504;5;2402
181760;6;2366
182016;6;2379
182272;6;2510
182528;6;2536
182784;6;2496
183040;6;2501
183296;6;2473
183552;6;2495
183808;6;2448
184064;6;2544
184320;6;2579
184576;6;2480
184832;6;2600
185088;6;2651
185344;5;2643
185600;6;2582
185856;6;2539
186112;6;2549
186368;7;2560
186624;6;2560
186880;6;2587
187136;5;2599
187392;6;2596
187648;6;2606
187904;6;2716
188160;6;2644
188416;6;2618
188672;7;2635
188928;5;2643
189184;6;2652
189440;6;2669
189696;6;2658
189952;7;2627
190208;5;2630
190464;7;2661
190720;7;2673
190976;6;2678
191232;6;2762
191488;6;2722
191744;5;2740
192000;6;2754
192256;7;2666
192512;6;2678
192768;5;2660
193024;6;2673
193280;6;2701
193536;6;2762
193792;6;2726
194048;6;2732
194304;6;2772
194560;6;2805
194816;6;2826
195072;6;2797
195328;6;2800
195584;6;2812
195840;6;2854
196096;6;2842
196352;6;2803
196608;6;2923
196864;6;2830
197120;7;2934
197376;8;2880
197632;6;2847
197888;6;2861
198144;6;2848
198400;6;2853
198656;7;2900
198912;6;2824
199168;6;2901
199424;7;3009
199680;7;2970
199936;6;3000
200192;7;2954
200448;6;2965
200704;7;3010
200960;7;3009
201216;7;3009
201472;7;3012
201728;7;3081
201984;7;3077
202240;7;3033
202496;7;3069
202752;6;3035
203008;7;3017
203264;8;3140
203520;6;3162
203776;7;3191
204032;7;3382
204288;7;3231
204544;7;3224
204800;6;3140
205056;8;3101
205312;6;3069
205568;7;3110
205824;6;3087
206080;6;3231
206336;8;3322
206592;7;3300
206848;7;3349
207104;6;3244
207360;7;3188
207616;7;3173
207872;7;3351
208128;7;3272
208384;6;3299
208640;7;3210
208896;6;3170
209152;7;3211
209408;7;3157
209664;7;3159
209920;7;3208
210176;6;3214
210432;6;3313
210688;7;3264
210944;7;3272
211200;7;3255
211456;7;3251
211712;7;3288
211968;7;3276
212224;7;3290
212480;6;3301
212736;7;3331
212992;8;3327
213248;7;3342
213504;7;3380
213760;7;3363
214016;7;3355
214272;8;3368
214528;7;3437
214784;7;3448
215040;7;3475
215296;7;3408
215552;8;3455
215808;7;3448
216064;7;3435
216320;7;3414
216576;7;3473
216832;7;3411
217088;6;3438
217344;10;3493
217600;7;3438
217856;7;3470
218112;7;3577
218368;7;3540
218624;7;3551
218880;7;3502
219136;8;3534
219392;7;3573
219648;7;3566
219904;7;3624
220160;7;3660
220416;7;3614
220672;6;3607
220928;6;3701
221184;10;3706
221440;8;3577
221696;7;3665
221952;8;3639
222208;8;3673
222464;7;3686
222720;7;3687
222976;7;3757
223232;7;3858
223488;8;3900
223744;8;3938
224000;7;3850
224256;8;4004
224512;8;4013
224768;8;4041
225024;7;3884
225280;8;3903
225536;8;4172
225792;8;4084
226048;8;4081
226304;8;4027
226560;8;4024
226816;8;4055
227072;8;4000
227328;7;4028
227584;8;4039
227840;9;4024
228096;7;4077
228352;8;4099
228608;8;4102
228864;8;4116
229120;8;4070
229376;7;4112
229632;9;4128
229888;8;4134
230144;8;4140
230400;8;4194
230656;8;4167
230912;8;4153
231168;9;4175
231424;8;4165
231680;8;4172
231936;8;4245
232192;8;4234
232448;8;4232
232704;8;4207
232960;8;4211
233216;8;4222
233472;8;4234
233728;7;4222
233984;8;4234
234240;8;4269
234496;9;4300
234752;8;4309
235008;8;4377
235264;7;4298
235520;9;4336
235776;8;4238
236032;8;4289
236288;7;4312
236544;8;4318
236800;9;4302
237056;9;4326
237312;9;4338
237568;8;4331
237824;9;4363
238080;9;4442
238336;9;4454
238592;8;4531
238848;8;4646
239104;11;4520
239360;10;4566
239616;9;4595
239872;7;4563
240128;8;4403
240384;9;4594
240640;9;4575
240896;9;4548
241152;9;4543
241408;8;4578
241664;9;4602
241920;8;4654
242176;9;4676
242432;8;4672
242688;8;4728
242944;10;4795
243200;10;4697
243456;8;4845
243712;10;4927
243968;10;4813
244224;8;4839
244480;10;4785
244736;10;4853
244992;10;4811
245248;9;4809
245504;8;4811
245760;9;4832
246016;9;4875
246272;8;4863
246528;9;4868
246784;9;4880
247040;12;4922
247296;9;4942
247552;10;4949
247808;9;4949
248064;8;4885
248320;7;4969
248576;9;4965
248832;12;4931
249088;9;4892
249344;9;4958
249600;9;4949
249856;9;5062
250112;9;4937
250368;9;4878
250624;8;4896
250880;8;4887
251136;8;5092
251392;9;4929
251648;8;4842
251904;9;4889
252160;9;4903
252416;9;4924
252672;9;4903
252928;9;4875
253184;22;5077
253440;10;4939
253696;9;4852
253952;9;5063
254208;10;5034
254464;9;5156
254720;10;5317
254976;7;4946
255232;9;5103
255488;10;4915
255744;8;4991
256000;9;5158
256256;9;4942
256512;8;5145
256768;8;5104
257024;8;5197
257280;9;5124
257536;10;5246
257792;9;5468
258048;11;5463
258304;9;5450
258560;9;5423
258816;9;5399
259072;10;5407
259328;10;5413
259584;9;5432
259840;10;5455
260096;9;5486
260352;11;5543
260608;9;5557
260864;10;5485
261120;9;5556
261376;11;5569
261632;9;5564
261888;10;5552
262144;10;5565
262400;9;5590
262656;10;5631
262912;10;5602
263168;10;5697
263424;9;5696
263680;10;5725
263936;12;5618
264192;13;5620
264448;9;5626
264704;9;5683
264960;10;5676
265216;9;5670
265472;10;5617
265728;8;5644
265984;11;5629
266240;9;5516
266496;10;5497
266752;11;5449
267008;10;5435
267264;9;5623
267520;9;5669
267776;9;5625
268032;13;5743
268288;11;5752
268544;10;5561
268800;10;5553
269056;11;5658
269312;9;5560
269568;9;5579
269824;10;5799
270080;8;5528
270336;10;5667
270592;9;5637
270848;10;5566
271104;9;5836
271360;9;5898
271616;10;5633
271872;10;5667
272128;9;5613
272384;10;5815
272640;10;6033
272896;10;5978
273152;11;5885
273408;9;5639
273664;9;5643
273920;9;5659
274176;9;5661
274432;9;5701
274688;8;5681
274944;9;5676
275200;9;5734
275456;10;5989
275712;11;6141
275968;10;6044
276224;9;5951
276480;11;5885
276736;13;5825
276992;10;5875
277248;11;5899
277504;10;6033
277760;10;6213
278016;12;5936
278272;10;5908
278528;9;6013
278784;10;6047
279040;10;5956
279296;10;6025
279552;13;5964
279808;9;5999
280064;9;6074
280320;9;6059
280576;10;6046
280832;10;6048
281088;10;6064
281344;10;6103
281600;10;6984
281856;10;7290
282112;10;6300
282368;11;6210
282624;10;6164
282880;10;6151
283136;10;6288
283392;9;6326
283648;9;6287
283904;10;6240
284160;11;6340
284416;12;6364
284672;10;6346
284928;10;6378
285184;11;6362
285440;11;6355
285696;10;6353
285952;11;6453
286208;11;6380
286464;10;6368
286720;11;6538
286976;11;6430
287232;13;6452
287488;11;6526
287744;12;6414
288000;10;6373
288256;10;6407
288512;13;6418
288768;10;6420
289024;10;6593
289280;10;6541
289536;11;6683
289792;13;6482
290048;11;6554
290304;11;6509
290560;10;6535
290816;10;6492
291072;14;6566
291328;10;6515
291584;10;6574
291840;10;6565
292096;10;6573
292352;13;6571
292608;10;6655
292864;10;6622
293120;10;6636
293376;9;6659
293632;13;6594
293888;11;6642
294144;9;6710
294400;10;6727
294656;11;6747
294912;10;6760
295168;10;6699
295424;11;6707
295680;10;6700
295936;10;6792
296192;11;6778
296448;14;6823
296704;10;6818
296960;11;6845
297216;10;6805
297472;10;6866
297728;10;6838
297984;10;6936
298240;11;7046
298496;10;6820
298752;10;7777
299008;11;6890
299264;11;6886
299520;14;6920
299776;11;6857
